n,ns_per_op
00100000,1.703
00100000,1.703
00100000,1.703
00100000,1.707
00100000,1.700
00350000,1.718
00350000,1.716
00350000,1.704
00350000,1.705
00350000,1.704
00600000,1.707
00600000,1.709
00600000,1.710
00600000,1.701
00600000,1.701
00850000,1.710
00850000,1.706
00850000,1.728
00850000,1.703
00850000,1.801
01100000,1.801
01100000,1.794
01100000,1.726
01100000,1.714
01100000,1.705
01350000,1.709
01350000,1.703
01350000,1.732
01350000,1.744
01350000,1.703
01600000,1.708
01600000,1.783
01600000,1.702
01600000,1.695
01600000,1.699
01850000,1.713
01850000,1.717
01850000,1.754
01850000,1.703
01850000,1.701
02100000,1.724
02100000,1.689
02100000,1.702
02100000,1.736
02100000,1.721
02350000,1.723
02350000,1.720
02350000,1.710
02350000,1.708
02350000,1.698
02600000,1.723
02600000,1.700
02600000,1.702
02600000,1.704
02600000,1.705
02850000,1.707
02850000,1.700
02850000,1.705
02850000,1.710
02850000,1.732
03100000,1.726
03100000,1.702
03100000,1.723
03100000,1.831
03100000,1.694
03350000,1.695
03350000,1.702
03350000,1.709
03350000,1.705
03350000,1.815
03600000,1.763
03600000,1.815
03600000,1.706
03600000,1.703
03600000,1.699
03850000,1.700
03850000,1.704
03850000,1.711
03850000,1.717
03850000,1.695
04100000,1.689
04100000,1.681
04100000,1.688
04100000,1.698
04100000,1.690
04350000,1.692
04350000,1.690
04350000,1.721
04350000,1.688
04350000,1.686
04600000,1.690
04600000,1.687
04600000,1.695
04600000,1.692
04600000,1.690
04850000,1.701
04850000,1.698
04850000,1.694
04850000,1.690
04850000,1.683
05100000,1.694
05100000,1.687
05100000,1.693
05100000,1.685
05100000,1.692
05350000,1.691
05350000,1.685
05350000,1.687
05350000,1.686
05350000,1.697
05600000,1.711
05600000,1.692
05600000,1.697
05600000,1.687
05600000,1.685
05850000,1.695
05850000,1.684
05850000,1.687
05850000,1.686
05850000,1.788
06100000,1.777
06100000,1.791
06100000,1.704
06100000,1.685
06100000,1.684
06350000,1.684
06350000,1.684
06350000,1.687
06350000,1.687
06350000,1.685
06600000,1.701
06600000,1.681
06600000,1.701
06600000,1.687
06600000,1.684
06850000,1.694
06850000,1.692
06850000,1.735
06850000,1.691
06850000,1.683
07100000,1.687
07100000,1.683
07100000,1.687
07100000,1.707
07100000,1.704
07350000,1.685
07350000,1.693
07350000,1.690
07350000,1.701
07350000,1.690
07600000,1.688
07600000,1.686
07600000,1.689
07600000,1.686
07600000,1.697
07850000,1.687
07850000,1.685
07850000,1.688
07850000,1.685
07850000,1.684
08100000,1.700
08100000,1.694
08100000,1.689
08100000,1.687
08100000,1.686
08350000,1.688
08350000,1.690
08350000,1.688
08350000,1.687
08350000,1.799
08600000,1.774
08600000,1.727
08600000,1.690
08600000,1.691
08600000,1.684
08850000,1.684
08850000,1.691
08850000,1.687
08850000,1.705
08850000,1.684
09100000,1.689
09100000,1.681
09100000,1.689
09100000,1.699
09100000,1.693
09350000,1.695
09350000,1.691
09350000,1.730
09350000,1.694
09350000,1.685
09600000,1.704
09600000,1.681
09600000,1.685
09600000,1.683
09600000,1.695
09850000,1.682
09850000,1.686
09850000,1.687
09850000,1.688
09850000,1.685
