n,ns_per_op
0050,34135
0050,34662
0050,34115
0050,34180
0050,34196
0550,41856170
0550,41709744
0550,41644781
0550,41902236
0550,41772160
1050,284492578
1050,284787337
1050,285508673
1050,285122022
1050,284241070
1550,911146066
1550,914531088
1550,910827848
1550,909339738
1550,910061274
2050,2101528987
2050,2094098924
2050,2231332402
2050,2153280679
2050,2094967156
2550,4030183528
2550,4024433371
2550,4043636716
2550,4076055734
2550,4050805559
3050,6930764661
3050,6898488168
3050,6894255571
3050,6895086000
3050,6959500836
3550,10928316934
3550,10894981175
3550,10870386180
3550,10865711579
3550,10851015739
4050,16302184443
4050,16129705578
4050,16118561415
4050,16106912384
4050,16316537914
4550,22887875165
4550,22864289124
4550,22865789262
4550,22804288105
4550,22974518807
5050,31212351685
5050,31264952028
5050,31227120579
5050,31293748056
5050,31177043121
5550,41535613001
5550,41526532649
5550,41370693309
5550,41648374937
5550,41504887999
6050,53758435925
6050,53667156465
6050,53688238560
6050,53703857755
6050,53686772864

