n,ns_per_op
02,49.92
02,48.52
02,48.40
02,48.51
02,48.24
03,98.65
03,101.8
03,101.2
03,102.0
03,101.4
04,329.5
04,321.9
04,319.7
04,320.4
04,317.8
05,1633
05,1635
05,1631
05,1627
05,1624
06,10167
06,10306
06,10213
06,10164
06,10183
07,88251
07,88303
07,87854
07,88143
07,87908
08,815285
08,817172
08,813132
08,815312
08,815120
09,7684119
09,7696442
09,7660682
09,7693888
09,7718794
10,78847706
10,78398197
10,78446237
10,78665592
10,84047493
11,915893155
11,883083146
11,876829238
11,879108744
11,880670764
