n,ns_per_op
01,12.48
01,12.69
01,12.57
01,12.68
01,12.46
02,62.73
02,62.34
02,62.56
02,62.75
02,62.34
03,660.4
03,657.3
03,659.3
03,658.6
03,659.7
04,8778
04,8794
04,8769
04,8821
04,8790
05,140030
05,139382
05,139398
05,139452
05,138955
06,2557159
06,2561559
06,2565434
06,2560115
06,2556970
07,53750422
07,53638494
07,54022150
07,53630030
07,53763602
08,1267749071
08,1266687565
08,1266985631
08,1269978930
08,1266750289
09,33368145060
09,33334782400
09,33275675868
09,33366394769
09,33278868752
150,99898988893933939393
