n,ns_per_op
00100000,35.64
00100000,36.10
00100000,35.64
00100000,36.07
00100000,35.80
00350000,36.18
00350000,35.61
00350000,35.64
00350000,35.61
00350000,35.72
00600000,35.72
00600000,36.01
00600000,35.69
00600000,36.08
00600000,35.66
00850000,36.14
00850000,35.62
00850000,37.18
00850000,37.52
00850000,37.07
01100000,35.83
01100000,36.22
01100000,35.70
01100000,36.17
01100000,35.67
01350000,36.12
01350000,35.73
01350000,35.75
01350000,35.58
01350000,35.64
01600000,35.63
01600000,36.11
01600000,35.63
01600000,36.01
01600000,35.70
01850000,36.63
01850000,35.92
01850000,35.73
01850000,35.78
01850000,35.84
02100000,35.64
02100000,36.16
02100000,35.65
02100000,36.22
02100000,35.77
02350000,36.07
02350000,35.60
02350000,35.71
02350000,35.62
02350000,35.67
02600000,35.69
02600000,36.17
02600000,35.69
02600000,36.13
02600000,35.68
02850000,36.10
02850000,35.86
02850000,35.67
02850000,35.61
02850000,35.98
03100000,35.71
03100000,36.07
03100000,35.65
03100000,36.05
03100000,35.71
03350000,36.78
03350000,35.65
03350000,35.76
03350000,37.71
03350000,36.93
03600000,36.13
03600000,36.15
03600000,35.74
03600000,36.38
03600000,35.76
03850000,36.15
03850000,35.94
03850000,35.72
03850000,35.95
03850000,35.83
04100000,35.55
04100000,36.09
04100000,35.65
04100000,36.06
04100000,35.70
04350000,36.14
04350000,36.32
04350000,35.63
04350000,35.63
04350000,35.85
04600000,35.73
04600000,36.15
04600000,35.60
04600000,36.42
04600000,35.65
04850000,36.12
04850000,35.73
04850000,35.77
04850000,35.61
04850000,35.71
05100000,35.62
05100000,36.11
05100000,35.63
05100000,36.02
05100000,35.63
05350000,36.23
05350000,35.73
05350000,35.62
05350000,35.66
05350000,35.78
05600000,35.66
05600000,36.16
05600000,35.59
05600000,36.07
05600000,35.72
05850000,36.11
05850000,35.65
05850000,35.60
05850000,37.37
05850000,37.02
06100000,35.91
06100000,36.14
06100000,35.60
06100000,36.17
06100000,35.78
06350000,36.08
06350000,35.67
06350000,35.66
06350000,35.89
06350000,35.64
06600000,35.59
06600000,36.15
06600000,35.83
06600000,36.07
06600000,35.85
06850000,36.07
06850000,36.40
06850000,35.67
06850000,35.62
06850000,35.87
07100000,35.58
07100000,36.68
07100000,35.64
07100000,36.57
07100000,35.65
07350000,36.12
07350000,35.72
07350000,36.00
07350000,35.62
07350000,35.65
07600000,35.57
07600000,36.09
07600000,35.63
07600000,36.44
07600000,35.67
07850000,36.05
07850000,35.69
07850000,35.64
07850000,35.66
07850000,35.75
08100000,35.71
08100000,36.15
08100000,35.59
08100000,36.09
08100000,35.69
08350000,36.24
08350000,35.62
08350000,35.61
08350000,38.37
08350000,38.43
08600000,36.13
08600000,36.33
08600000,35.61
08600000,36.29
08600000,35.69
08850000,36.11
08850000,35.85
08850000,35.90
08850000,35.64
08850000,35.76
09100000,35.60
09100000,36.10
09100000,35.70
09100000,36.05
09100000,35.71
09350000,36.12
09350000,36.28
09350000,35.92
09350000,35.65
09350000,35.63
09600000,35.60
09600000,36.11
09600000,36.02
09600000,36.33
09600000,35.73
09850000,36.18
09850000,35.65
09850000,35.61
09850000,35.74
09850000,35.69
