n,ns_per_op
00050000,12033
00050000,12015
00050000,12036
00050000,12066
00050000,12020
00300000,73176
00300000,72207
00300000,72225
00300000,72189
00300000,72150
00550000,132169
00550000,132565
00550000,132720
00550000,132311
00550000,140226
00800000,203085
00800000,195507
00800000,192940
00800000,192228
00800000,192778
01050000,252792
01050000,252423
01050000,252419
01050000,253155
01050000,252553
01300000,312949
01300000,311973
01300000,316068
01300000,314027
01300000,312821
01550000,375097
01550000,373284
01550000,380586
01550000,375709
01550000,372484
01800000,432061
01800000,432393
01800000,432308
01800000,436176
01800000,434060
02050000,493606
02050000,497789
02050000,491932
02050000,508786
02050000,493329
02300000,553336
02300000,553227
02300000,552405
02300000,553074
02300000,554416
02550000,613304
02550000,612725
02550000,613437
02550000,613316
02550000,613531
02800000,678097
02800000,672846
02800000,673580
02800000,677850
02800000,677285
03050000,732347
03050000,739409
03050000,734265
03050000,736050
03050000,819787
03300000,885836
03300000,803916
03300000,793945
03300000,791749
03300000,792671
03550000,853968
03550000,853248
03550000,860328
03550000,856618
03550000,853575
03800000,912263
03800000,916324
03800000,913110
03800000,927843
03800000,915161
04050000,978374
04050000,977242
04050000,989509
04050000,976649
04050000,976070
04300000,1034716
04300000,1033805
04300000,1032257
04300000,1032640
04300000,1044465
04550000,1102115
04550000,1094806
04550000,1092001
04550000,1092733
04550000,1105782
04800000,1169288
04800000,1156138
04800000,1154156
04800000,1154837
04800000,1171803
