n,ns_per_op
0005000,641.0
0005000,637.6
0005000,639.7
0020000,2617
0020000,2617
0020000,2590
0035000,4668
0035000,4634
0035000,4570
0050000,6665
0050000,6729
0050000,6669
0065000,8983
0065000,8992
0065000,8936
0080000,11210
0080000,11053
0080000,11191
0095000,13217
0095000,13321
0095000,13638
0110000,15717
0110000,15494
0110000,15551
0125000,17538
0125000,17599
0125000,18481
0140000,19869
0140000,20148
0140000,19832
0155000,21775
0155000,22436
0155000,22198
0170000,23984
0170000,24665
0170000,24469
0185000,26184
0185000,26104
0185000,26449
0200000,29022
0200000,28549
0200000,28311
