n,ns_per_op
00100000,1.283
00100000,1.283
00100000,1.279
00100000,1.275
00100000,1.271
00350000,1.275
00350000,1.278
00350000,1.267
00350000,1.271
00350000,1.278
00600000,1.275
00600000,1.270
00600000,1.274
00600000,1.279
00600000,1.269
00850000,1.346
00850000,1.330
00850000,1.323
00850000,1.274
00850000,1.277
01100000,1.269
01100000,1.278
01100000,1.268
01100000,1.278
01100000,1.276
01350000,1.282
01350000,1.277
01350000,1.277
01350000,1.270
01350000,1.268
01600000,1.271
01600000,1.276
01600000,1.285
01600000,1.309
01600000,1.271
01850000,1.279
01850000,1.269
01850000,1.273
01850000,1.274
01850000,1.284
02100000,1.298
02100000,1.276
02100000,1.280
02100000,1.276
02100000,1.288
02350000,1.281
02350000,1.271
02350000,1.279
02350000,1.272
02350000,1.277
02600000,1.286
02600000,1.284
02600000,1.268
02600000,1.283
02600000,1.275
02850000,1.276
02850000,1.278
02850000,1.269
02850000,1.291
02850000,1.281
03100000,1.269
03100000,1.282
03100000,1.286
03100000,1.282
03100000,1.271
03350000,1.359
03350000,1.345
03350000,1.298
03350000,1.271
03350000,1.264
03600000,1.272
03600000,1.282
03600000,1.272
03600000,1.275
03600000,1.281
03850000,1.271
03850000,1.268
03850000,1.277
03850000,1.272
03850000,1.283
04100000,1.274
04100000,1.277
04100000,1.282
04100000,1.319
04100000,1.276
04350000,1.275
04350000,1.272
04350000,1.273
04350000,1.274
04350000,1.276
04600000,1.283
04600000,1.277
04600000,1.283
04600000,1.275
04600000,1.280
04850000,1.286
04850000,1.273
04850000,1.277
04850000,1.274
04850000,1.272
