n,ns_per_op
005,567.1
005,556.8
005,559.0
005,556.4
005,555.7
010,7740
010,7740
010,7736
010,7758
010,7780
015,37981
015,37816
015,38323
015,37964
015,38043
020,119206
020,118545
020,118589
020,119032
020,118361
025,291881
025,289287
025,293041
025,289159
025,288980
030,598117
030,602440
030,597827
030,594387
030,594973
035,1105986
035,1104650
035,1104520
035,1104213
035,1106233
040,2047253
040,2055243
040,2059011
040,2045346
040,2052161
045,3006916
045,3005711
045,3007584
045,3016335
045,3052810
050,4853458
050,4722997
050,4661134
050,4582533
050,4577348
