n,ns_per_op
000500,63429
005500,7325632
010500,26543737
015500,57806449
020500,101100756
025500,156113755
030500,223776602
035500,303015564
040500,397364853
045500,498747683
050500,612951082
055500,740628074
060500,890081189
065500,1031109030
070500,1200229092
075500,1370697616
080500,1554462705
085500,1767268794
090500,1969175417
095500,2396225302
100500,2519382090
105500,2724989730
110500,2994524757
115500,3251913012
120500,3520630369
125500,3827039087
130500,4175190137
135500,4550821421
140500,4815914748
145500,5087787453
150500,5440680385
155500,5811554836
160500,6202797858
165500,6748587960
170500,6992347107
175500,7400569436
180500,7858615278
185500,8310066026
190500,8751216268
195500,9197039046
200500,9792723392
205500,10218752997
210500,10756045264
215500,11196807789
220500,11680596144
225500,12239824341
230500,12947580402
235500,13411225811
240500,13983608985
245500,14523227919
